Epoch,Train Loss,Validation Loss
1,0.0035869742016075177,0.007935772833757494
2,0.002348451263969764,0.0074812915010720885
3,0.0023571185437807193,0.008823454952921327
4,0.002324428953579627,0.008798880021602503
5,0.0023246645581416992,0.006345466373635358
6,0.00227315867280898,0.006512574730502246
7,0.0023287652529284564,0.00659705515289189
8,0.0023195733778670225,0.006878750430922465
9,0.002272349734105066,0.00669985844471835
10,0.002233728154614154,0.006149716704385355
11,0.002261112590592044,0.0048641528441007
12,0.0022069953543703176,0.006171142449602485
13,0.0022279152100155544,0.0063322131463792175
14,0.0022265978034637455,0.005730878472891881
15,0.0022287006625750414,0.005164827302858038
16,0.0021991079087860677,0.0046487603915585695
17,0.0021675854701445336,0.004304100001096039
18,0.002184163941355008,0.00484023933409174
19,0.0021668908926787685,0.004026260603782966
20,0.002157702241028245,0.004678353932257251
21,0.002161202837143921,0.004418107458868211
22,0.0021411684886617067,0.003881099728842903
23,0.0021742623179711196,0.004522054967789077
24,0.0021536653947098077,0.004213468621999614
25,0.0021466482029710377,0.003617742112653918
26,0.0021154143763447387,0.0036134218849168207
27,0.0021275210161952095,0.0038594909036826146
28,0.002103795677733918,0.003375970374020797
29,0.0021229594975011425,0.0030356891817829913
30,0.0020928443069957816,0.0034000962761255274
31,0.002092823645216413,0.0032881709155749136
32,0.002088733613426383,0.0030172545275969527
33,0.002093345833903489,0.002641597624843646
34,0.0021077585290186105,0.0028192443025641537
35,0.002088507578688829,0.0028464211347071747
36,0.0020964300017415854,0.002652601947039856
37,0.002074020690957291,0.0031709796611195137
38,0.0020620682244447785,0.0031139186313866
39,0.002068963871311603,0.0026809211029965234
40,0.002056513954044527,0.002483189769248527
41,0.0020659405550557293,0.002506035517925691
42,0.002060577220011813,0.0023005989037061993
43,0.0020982783061400468,0.002570578531288591
44,0.0020932832996348022,0.002328628150280565
45,0.0020745119917491037,0.002230971699310957
46,0.0020745443860909693,0.0023457843237433976
47,0.002064271658956487,0.0022504525473586432
48,0.0020849035700343343,0.002173269656180453
49,0.0020610670381251517,0.0022205920326278396
50,0.0020378238891781723,0.0024895058518986366
51,0.0020689519463404494,0.0020992819673234693
52,0.002097527921109253,0.002239192036397167
53,0.0020599553477950393,0.002138961697806065
54,0.0020676093625499764,0.0021624924633406885
55,0.002041540197872867,0.002285774720612129
56,0.0020678092007680488,0.002135165770979304
57,0.002048281556603292,0.001966090926496116
58,0.002061001051657109,0.0020482821258299643
59,0.0020418441707281292,0.0020957120914796463
60,0.0020262616680055442,0.0020575560031973416
61,0.002058250835721588,0.0018551191621411004
62,0.0020448681448922597,0.0020180665995116883
