Epoch,Train Loss,Validation Loss
1,0.0024674336603816805,0.002014499672345425
2,0.0023004266811767595,0.0016050308867737552
3,0.002094931760802865,0.0015264470191476377
4,0.002133727521221671,0.0015171611104099277
5,0.0021685243458099044,0.0033708388647554735
6,0.002120895690556305,0.0015633652993098
7,0.002180529401327173,0.0023231657044226793
8,0.0022913796311412526,0.0015201982559550455
9,0.002193541686736151,0.0021850741958539736
10,0.002150439725179846,0.0018635286067269351
11,0.00214753896871116,0.0016479111677893486
12,0.0021338618114694124,0.0015664762705503228
13,0.002115411184948041,0.0021840015512057825
14,0.0021175525099453,0.0015983822583956154
15,0.0021388696590697188,0.0015184892323113193
16,0.0020872179659717303,0.0028536696336232126
17,0.002181780303362757,0.0014986518087282189
18,0.002226462625225799,0.0015846387909014563
19,0.0020739471957009906,0.0022162776716102505
20,0.002094600469798833,0.0020627730869148906
21,0.0020980786231424037,0.002198361996928916
22,0.0020825392967607414,0.0024238473515173324
23,0.002092256773741812,0.0019292454893921355
24,0.0021661508495324396,0.0015055855206140365
25,0.002091050379224018,0.0019471471023280174
26,0.0020487064450410092,0.001632993501660071
27,0.0020464101143362412,0.0018559727698294936
28,0.0020435755968921713,0.002936221077106893
29,0.002222289544685433,0.0033625803005538487
30,0.002086731271831215,0.0014912725708104279
31,0.0020403400286644075,0.0015117872206151094
32,0.0020558206577940535,0.0015581023196175106
33,0.002141559706069529,0.001878653014213533
34,0.0020645082569293056,0.0020391591334421384
35,0.0021663603528092306,0.0020685600894993464
36,0.0020930192336284866,0.0022870318375919994
37,0.0021176442203189555,0.0014900623875866202
38,0.002101444643146048,0.0017771459641057607
39,0.002105413437109544,0.0015820992128666195
40,0.0020581064943043102,0.0015093390086947597
41,0.002038837277278718,0.001725136140042818
42,0.002071269985430667,0.00179441869228245
43,0.0020419170569059334,0.0015637567274480763
44,0.0020845140718544525,0.002437035240674097
45,0.002089726896115786,0.0021834467525446884
46,0.0021262644592853677,0.002010769313385122
47,0.002014208789074069,0.0018683489730679675
48,0.002039137416997821,0.001647926304078857
49,0.00203596983483294,0.0022500227542447022
50,0.0021756437005630382,0.001554796509720434
